aX,aY,aZ,gX,gY,gZ
0.945,-0.013,-0.29,2.258,-0.244,2.197
0.945,-0.017,-0.294,3.235,-0.427,-0.244
0.945,-0.026,-0.286,3.845,-1.526,-2.014
0.947,-0.037,-0.275,5.066,-3.357,-3.296
0.948,-0.044,-0.266,5.127,-4.517,-3.601
0.953,-0.052,-0.251,4.333,-5.127,-3.479
0.955,-0.066,-0.238,4.211,-6.042,-3.052
0.954,-0.069,-0.234,3.296,-6.226,-1.831
0.955,-0.059,-0.234,0.122,-5.676,-0.916
0.954,-0.049,-0.238,-1.16,-5.066,-0.916
0.952,-0.047,-0.241,0.366,-4.7,-2.319
0.948,-0.048,-0.247,3.235,-4.761,-4.761
0.95,-0.058,-0.25,6.165,-4.639,-7.141
0.952,-0.059,-0.227,9.705,-5.188,-8.972
0.953,-0.082,-0.221,14.526,-4.944,-10.803
0.948,-0.108,-0.213,15.747,-3.662,-10.742
0.95,-0.115,-0.206,10.803,-1.648,-8.667
0.954,-0.107,-0.199,5.066,0,-6.531
0.951,-0.101,-0.202,1.953,1.343,-4.761
0.951,-0.096,-0.207,-0.183,2.93,-3.357
0.954,-0.09,-0.215,-2.38,4.15,-2.808
0.957,-0.088,-0.222,-2.258,4.7,-2.808
0.958,-0.095,-0.225,-0.793,4.333,-3.235
,,,,,
0.023,-1.309,-2.173,-103.027,54.504,-107.117
0.011,-1.453,-2.267,-131.042,-10.132,-58.716
0.039,-1.556,-2.357,-90.942,-94.727,-6.409
0.158,-1.817,-2.342,-25.879,-191.772,55.176
0.099,-1.747,-2.222,2.075,-302.002,141.724
-0.022,-1.423,-2.05,31.189,-421.326,227.417
-0.291,-1.2,-1.841,51.941,-547.546,296.875
-0.814,-0.948,-1.5,41.809,-677.429,352.173
-1.476,-0.49,-0.767,28.503,-806.152,389.648
-1.945,0.136,0.701,117.249,-909.79,377.991
-1.561,-1.123,4,305.359,-964.905,300.293
-1.27,-1.428,4,65.735,-862.549,326.294
-0.895,0.486,4,-163.33,-468.323,443.848
0.131,3.308,4,-122.253,-17.273,444.214
0.319,4,4,-29.541,257.935,329.285
0.413,4,2.827,55.42,337.891,123.291
0.606,3.293,2.108,86.426,327.026,-64.453
0.519,2.286,1.701,54.504,309.204,-203.064
0.342,1.507,1.288,12.939,312.561,-291.687
0.182,0.797,1.008,-11.353,324.89,-338.562
0.098,0.12,0.798,-25.879,330.2,-358.521
0.119,-0.461,0.672,-38.757,326.538,-353.271
0.125,-0.871,0.458,-49.622,321.411,-318.787
0.167,-1.074,0.29,-62.439,315.308,-263.855
0.232,-1.146,0.035,-55.847,306.458,-205.933
0.295,-1.109,-0.212,-32.715,290.039,-150.146
0.376,-1.02,-0.409,-15.381,268.616,-102.722
0.429,-0.914,-0.548,-7.019,244.202,-62.988
0.447,-0.828,-0.618,-7.935,216.37,-28.076
0.464,-0.705,-0.677,-21.851,186.89,2.93
0.48,-0.592,-0.675,-30.884,157.41,26.001
0.494,-0.485,-0.672,-45.654,132.202,41.748
0.508,-0.385,-0.662,-59.937,110.718,50.72
0.533,-0.324,-0.651,-66.223,90.576,52.307
0.566,-0.291,-0.647,-66.528,72.998,48.279
0.594,-0.247,-0.639,-63.782,57.007,40.649
0.627,-0.221,-0.594,-50.476,42.419,29.968
0.664,-0.23,-0.536,-28.687,29.907,18.25
0.699,-0.252,-0.496,-9.46,20.691,8.423
0.728,-0.278,-0.474,0.549,14.832,1.648
0.75,-0.293,-0.456,2.93,11.536,-1.404
0.773,-0.295,-0.439,-0.916,10.071,-2.625
0.796,-0.283,-0.429,-7.751,10.193,-3.052
0.812,-0.268,-0.435,-16.418,11.536,-4.272
0.831,-0.251,-0.451,-24.048,12.146,-6.042
0.847,-0.248,-0.463,-27.222,10.864,-8.789
0.86,-0.252,-0.469,-23.01,7.629,-12.268
0.871,-0.264,-0.47,-14.526,2.991,-15.442
0.877,-0.281,-0.461,-6.714,-1.77,-17.578
0.885,-0.305,-0.438,-0.488,-6.897,-17.639
0.896,-0.331,-0.414,3.113,-11.292,-15.747
0.904,-0.334,-0.392,2.747,-14.526,-11.719
0.916,-0.33,-0.368,2.319,-16.296,-6.653
0.927,-0.319,-0.351,3.357,-17.456,-1.709
0.932,-0.303,-0.332,6.653,-19.043,2.563
0.938,-0.29,-0.314,9.583,-19.714,7.629
0.944,-0.269,-0.3,11.169,-19.592,12.268
0.944,-0.248,-0.282,11.23,-18.982,16.418
0.938,-0.228,-0.269,9.46,-16.907,20.203
0.941,-0.202,-0.266,3.357,-13.672,22.827
0.935,-0.177,-0.265,-0.916,-11.414,23.621
0.936,-0.164,-0.263,1.404,-10.437,23.315
0.936,-0.149,-0.265,4.639,-9.033,21.729
0.934,-0.133,-0.265,5.676,-7.385,19.348
0.934,-0.128,-0.262,7.751,-5.493,16.052
0.935,-0.129,-0.263,12.268,-3.601,11.963
0.937,-0.131,-0.267,17.151,-1.953,7.751
0.938,-0.135,-0.275,19.775,-0.854,4.15
0.94,-0.154,-0.282,21.729,-0.61,1.282
0.944,-0.176,-0.292,23.987,-0.732,0.122
0.944,-0.19,-0.298,23.437,-0.916,0.366
0.939,-0.205,-0.302,20.081,-1.404,1.648
0.934,-0.219,-0.303,16.602,-2.075,4.028
0.932,-0.225,-0.304,12.146,-1.831,7.568
0.937,-0.217,-0.305,7.507,-1.465,11.23
0.94,-0.211,-0.301,5.249,-1.77,13.794
0.949,-0.213,-0.304,5.798,-2.258,16.235
0.953,-0.212,-0.306,5.066,-3.174,19.165
0.955,-0.214,-0.312,2.747,-4.211,22.705
0.956,-0.212,-0.32,-0.244,-5.554,26.855
0.953,-0.206,-0.328,-5.005,-6.958,31.128
0.949,-0.187,-0.334,-9.949,-9.155,35.217
0.944,-0.16,-0.331,-12.634,-11.475,39.063
0.948,-0.125,-0.319,-11.169,-14.038,40.771
0.947,-0.098,-0.301,-7.629,-16.296,40.039
0.947,-0.085,-0.282,-3.296,-17.334,37.964
0.951,-0.071,-0.269,-0.183,-16.907,35.339
0.952,-0.05,-0.256,0.916,-15.442,32.043
0.952,-0.035,-0.243,2.808,-13.062,27.954
0.954,-0.031,-0.23,5.798,-10.193,22.522
0.957,-0.044,-0.22,8.606,-6.836,16.724
0.956,-0.067,-0.223,10.254,-3.113,11.841
0.955,-0.083,-0.243,7.812,0.122,9.094
0.961,-0.082,-0.269,3.235,2.686,7.568
0.966,-0.085,-0.288,3.662,3.052,6.653
0.973,-0.094,-0.301,7.69,1.221,6.165
0.981,-0.089,-0.299,10.01,-1.465,6.47
0.984,-0.085,-0.286,11.169,-5.127,7.324
0.986,-0.083,-0.274,10.864,-7.69,8.484
0.983,-0.074,-0.264,6.836,-9.155,9.888
0.982,-0.065,-0.257,2.197,-9.766,10.681
0.974,-0.059,-0.254,0.427,-9.827,10.498
0.968,-0.056,-0.245,0.671,-9.705,9.399
0.965,-0.07,-0.236,1.526,-9.155,7.812
0.962,-0.102,-0.228,2.136,-8.423,6.836
0.962,-0.122,-0.229,0.549,-7.568,7.996
0.963,-0.116,-0.238,-3.54,-6.348,10.986
0.963,-0.098,-0.247,-7.629,-5.432,13.855
0.962,-0.081,-0.247,-9.583,-5.615,15.625
0.963,-0.065,-0.245,-9.338,-6.104,16.235
0.964,-0.039,-0.236,-8.728,-6.226,15.259
0.964,-0.028,-0.225,-6.592,-6.042,13
0.966,-0.022,-0.22,-3.845,-4.944,10.01
0.969,-0.026,-0.211,-0.488,-3.54,6.775
0.971,-0.033,-0.205,2.38,-2.563,3.906
0.974,-0.036,-0.209,3.479,-1.526,2.197
0.975,-0.036,-0.219,2.258,-0.977,1.282
0.974,-0.036,-0.226,0.183,-1.465,0.793
0.974,-0.038,-0.228,-0.977,-2.625,0.427
,,,,,
0.417,-1.113,-1.831,-41.626,0.427,-118.835
0.349,-1.379,-2.056,-43.091,-46.692,-81.909
0.221,-1.5,-2.219,-52.979,-108.948,-27.527
0.17,-1.496,-2.285,-30.151,-189.697,31.128
0.207,-1.649,-2.208,21.423,-288.513,93.14
-0.011,-1.486,-2.075,40.283,-398.926,169.189
-0.255,-1.202,-1.912,56.152,-515.442,238.525
-0.63,-0.78,-1.625,52.795,-632.263,286.865
-1.199,-0.298,-1.094,42.603,-748.352,306.763
-1.677,0.148,-0.177,48.218,-843.567,290.1
-2.049,0.502,1.349,29.419,-901.611,260.01
-1.877,0.577,3.94,-1.221,-897.095,239.746
-1.189,0.719,4,-36.194,-761.108,231.14
-0.041,1.104,4,-70.435,-411.072,215.698
-0.049,1.78,4,-21.851,25.208,158.875
-0.266,2.34,4,127.197,294.189,88.867
-0.029,2.664,3.392,223.145,380.432,52.551
0.227,2.342,2.503,217.224,375.122,-23.926
0.425,1.813,1.822,141.602,353.333,-114.38
0.477,1.224,1.268,41.687,347.961,-172.607
0.392,0.645,0.817,-24.963,347.046,-203.979
0.431,0.201,0.541,-75.745,336.914,-216.309
0.28,-0.214,0.367,-116.516,319.092,-215.088
0.283,-0.561,0.245,-138.184,299.744,-203.491
0.392,-0.872,0.183,-122.742,282.349,-182.434
0.424,-0.96,0.068,-107.727,269.592,-149.353
0.394,-0.945,-0.074,-93.262,262.695,-117.188
0.412,-0.83,-0.273,-87.524,259.094,-89.294
0.446,-0.699,-0.441,-91.248,246.46,-64.88
0.479,-0.615,-0.579,-90.271,220.764,-45.044
0.515,-0.565,-0.627,-80.627,187.256,-30.762
0.561,-0.539,-0.625,-64.514,152.1,-19.836
0.605,-0.518,-0.604,-53.65,120.239,-9.277
0.645,-0.487,-0.562,-50.598,91.553,1.282
0.687,-0.441,-0.491,-42.236,63.904,10.742
0.739,-0.409,-0.38,-27.039,38.452,18.982
0.794,-0.403,-0.256,-6.653,18.25,24.719
0.831,-0.392,-0.146,7.08,5.615,30.029
0.859,-0.356,-0.07,9.033,1.221,35.828
0.895,-0.3,-0.033,4.639,2.563,40.039
0.917,-0.228,-0.032,-2.625,6.47,41.809
0.941,-0.162,-0.056,-7.996,9.705,39.978
0.967,-0.11,-0.08,-7.874,10.498,34.729
