aX,aY,aZ,gX,gY,gZ
0.557,0.646,1.053,126.953,-202.637,-143.311
0.596,0.581,1.099,147.095,-164.246,-167.053
0.607,0.507,1.075,144.958,-124.878,-187.073
0.616,0.47,0.954,124.634,-89.172,-200.073
0.638,0.445,0.774,101.257,-62.805,-208.252
0.628,0.382,0.635,82.764,-53.284,-215.271
0.617,0.251,0.529,66.956,-53.955,-219.238
0.626,0.085,0.438,39.246,-59.875,-215.942
0.644,-0.038,0.373,-6.897,-71.045,-202.271
0.646,-0.121,0.348,-47.485,-88.257,-179.626
0.648,-0.115,0.382,-69.092,-107.3,-153.809
0.651,-0.052,0.475,-64.575,-124.573,-132.08
0.665,0.063,0.623,-44.739,-136.353,-119.934
0.64,0.156,0.736,-21.973,-137.756,-120.178
0.605,0.255,0.832,-3.479,-132.202,-130.92
0.617,0.219,0.9,15.381,-122.498,-150.024
0.638,0.045,0.96,36.987,-112.549,-171.997
0.733,-0.107,0.964,45.471,-103.333,-185.486
0.718,-0.279,0.948,33.02,-99.182,-190.43
0.78,-0.382,1.01,-3.174,-104.675,-179.199
0.892,-0.319,1.128,-39.124,-109.497,-147.4
0.933,-0.27,1.19,-56.213,-108.826,-133.179
0.948,-0.207,1.174,-68.665,-102.844,-115.051
0.945,-0.099,1.142,-91.919,-92.407,-99.304
0.92,-0.003,1.057,-110.84,-80.2,-89.294
0.89,0.009,0.999,-117.92,-70.984,-84.778
0.858,0.043,0.923,-120.605,-63.11,-84.167
0.853,0.024,0.866,-104.065,-50.72,-93.567
0.892,-0.082,0.825,-73.059,-43.945,-106.75
0.851,-0.157,0.955,-42.542,-50.11,-114.38
0.841,-0.341,1.004,-9.094,-40.466,-115.173
0.872,-0.519,0.957,5.493,-11.963,-113.586
0.897,-0.64,0.833,0.732,7.751,-104.065
0.841,-0.699,0.751,-10.62,12.329,-87.524
0.808,-0.652,0.685,-12.207,8.972,-62.683
0.797,-0.568,0.633,2.625,9.033,-42.847
0.784,-0.476,0.629,18.127,5.005,-27.893
0.777,-0.403,0.632,21.118,0.244,-17.151
0.785,-0.347,0.62,11.597,-2.625,-11.658
0.797,-0.296,0.621,1.282,-5.981,-9.949
0.803,-0.288,0.632,-1.526,-9.766,-11.169
0.808,-0.311,0.653,-1.343,-12.024,-13.306
0.816,-0.347,0.684,-5.005,-12.329,-15.32
0.825,-0.392,0.708,-11.292,-10.376,-16.785
0.835,-0.443,0.719,-15.93,-6.653,-16.907
0.846,-0.491,0.707,-16.418,-2.563,-14.587
0.843,-0.495,0.69,-13.184,0.122,-8.85
0.833,-0.464,0.68,-7.874,1.648,-1.648
0.828,-0.413,0.675,-2.136,3.845,4.15
0.827,-0.364,0.667,2.747,6.165,8.24
0.821,-0.312,0.656,7.263,8.362,10.803
0.824,-0.27,0.642,10.254,10.254,11.475
0.824,-0.248,0.626,12.756,12.146,10.742
0.818,-0.238,0.611,13.855,13.55,9.705
0.813,-0.227,0.598,12.756,13.916,8.972
0.805,-0.218,0.591,9.644,13.733,8.484
0.803,-0.227,0.584,5.981,13.123,8.423
0.801,-0.23,0.571,1.038,12.39,8.911
0.792,-0.218,0.562,-3.296,10.925,10.376
0.783,-0.204,0.561,-5.554,8.911,11.963
0.778,-0.199,0.555,-5.432,6.897,13.062
0.776,-0.195,0.55,-4.944,4.883,13.977
,,,,,
1.111,-0.892,1.626,76.782,1.587,-18.86
1.236,-1.23,1.925,89.783,26.855,-6.958
1.33,-1.608,2.18,96.558,63.477,24.475
1.303,-1.949,2.252,89.294,112.854,77.454
1.127,-1.864,2.163,71.228,168.518,145.142
0.902,-1.381,2.085,91.003,217.285,217.59
0.711,-1.009,2.087,159.485,257.69,269.47
